iso_code,continent,location,date,total_cases,total_deaths,population
AFG,Asia,Afghanistan,4/29/2022,178873,7683,39835428
OWID_AFR,,Africa,4/29/2022,11666900,252878,1373486472
ALB,Europe,Albania,4/29/2022,275055,3496,2872934
DZA,Africa,Algeria,4/29/2022,265779,6875,44616626
AND,Europe,Andorra,4/29/2022,41349,153,77354
AGO,Africa,Angola,4/29/2022,99287,1900,33933611
AIA,North America,Anguilla,4/29/2022,2788,9,15125
ATG,North America,Antigua and Barbuda,4/29/2022,7626,136,98728
ARG,South America,Argentina,4/29/2022,9072230,128542,45605823
ARM,Asia,Armenia,4/29/2022,422865,8622,2968128
ABW,North America,Aruba,4/29/2022,34846,212,107195
OWID_ASI,,Asia,4/29/2022,148759563,1428382,4678444992
AUS,Oceania,Australia,4/29/2022,5927528,7236,25788217
AUT,Europe,Austria,4/29/2022,4135344,18138,9043072
AZE,Asia,Azerbaijan,4/29/2022,792558,9709,10223344
BHS,North America,Bahamas,4/29/2022,33541,789,396914
BHR,Asia,Bahrain,4/29/2022,568367,1475,1748295
BGD,Asia,Bangladesh,4/29/2022,1952674,29127,166303494
BRB,North America,Barbados,4/29/2022,69562,392,287708
BLR,Europe,Belarus,4/29/2022,979909,6943,9442867
BEL,Europe,Belgium,4/29/2022,4056448,31439,11632334
BLZ,North America,Belize,4/29/2022,57497,676,404915
BEN,Africa,Benin,4/29/2022,26952,163,12451031
BMU,North America,Bermuda,4/29/2022,13488,131,62092
BTN,Asia,Bhutan,4/29/2022,59054,21,779900
BOL,South America,Bolivia,4/29/2022,904883,21910,11832936
BES,North America,Bonaire Sint Eustatius and Saba,4/29/2022,9745,34,26445
BIH,Europe,Bosnia and Herzegovina,4/29/2022,377087,15765,3263459
BWA,Africa,Botswana,4/29/2022,305984,2688,2397240
BRA,South America,Brazil,4/29/2022,30433042,663649,213993441
VGB,North America,British Virgin Islands,4/29/2022,6355,62,30423
BRN,Asia,Brunei,4/29/2022,141748,218,441532
BGR,Europe,Bulgaria,4/29/2022,1156466,36911,6896655
BFA,Africa,Burkina Faso,4/29/2022,20865,383,21497097
BDI,Africa,Burundi,4/29/2022,39998,38,12255429
KHM,Asia,Cambodia,4/29/2022,136246,3056,16946446
CMR,Africa,Cameroon,4/29/2022,119780,1927,27224262
CAN,North America,Canada,4/29/2022,3762254,39278,38067913
CPV,Africa,Cape Verde,4/29/2022,56020,401,561901
CYM,North America,Cayman Islands,4/29/2022,22223,27,66498
CAF,Africa,Central African Republic,4/29/2022,14649,113,4919987
TCD,Africa,Chad,4/29/2022,7411,193,16914985
CHL,South America,Chile,4/29/2022,3556333,57509,19212362
CHN,Asia,China,4/29/2022,951031,4975,1444216102
COL,South America,Colombia,4/29/2022,6092403,139793,51265841
COM,Africa,Comoros,4/29/2022,8105,160,888456
COG,Africa,Congo,4/29/2022,24079,385,5657017
COK,Oceania,Cook Islands,4/29/2022,5031,1,17572
CRI,North America,Costa Rica,4/29/2022,852074,8405,5139053
CIV,Africa,Cote d'Ivoire,4/29/2022,81930,799,27053629
HRV,Europe,Croatia,4/29/2022,1121662,15822,4081657
CUB,North America,Cuba,4/29/2022,1102750,8526,11317498
CUW,North America,Curacao,4/29/2022,42241,274,164796
CYP,Europe,Cyprus,4/29/2022,480220,1015,896005
CZE,Europe,Czechia,4/29/2022,3905101,40155,10724553
COD,Africa,Democratic Republic of Congo,4/29/2022,87023,1337,92377986
DNK,Europe,Denmark,4/29/2022,3115721,6149,5813302
DJI,Africa,Djibouti,4/29/2022,15611,189,1002197
DMA,North America,Dominica,4/29/2022,12033,63,72172
DOM,North America,Dominican Republic,4/29/2022,579248,4376,10953714
ECU,South America,Ecuador,4/29/2022,869124,35588,17888474
EGY,Africa,Egypt,4/29/2022,515645,24613,104258327
SLV,North America,El Salvador,4/29/2022,162089,4128,6518500
GNQ,Africa,Equatorial Guinea,4/29/2022,15907,183,1449891
ERI,Africa,Eritrea,4/29/2022,9734,103,3601462
EST,Europe,Estonia,4/29/2022,571917,2538,1325188
SWZ,Africa,Eswatini,4/29/2022,70626,1397,1172369
ETH,Africa,Ethiopia,4/29/2022,470550,7510,117876226
OWID_EUR,,Europe,4/29/2022,192516327,1817425,748962983
OWID_EUN,,European Union,4/29/2022,137123117,1075506,447189915
FRO,Europe,Faeroe Islands,4/29/2022,34658,28,49053
FLK,South America,Falkland Islands,4/29/2022,177,,3528
FJI,Oceania,Fiji,4/29/2022,64634,862,902899
FIN,Europe,Finland,4/29/2022,1023013,3939,5548361
FRA,Europe,France,4/29/2022,28649885,145938,67422000
PYF,Oceania,French Polynesia,4/29/2022,72720,648,282534
GAB,Africa,Gabon,4/29/2022,47602,304,2278829
GMB,Africa,Gambia,4/29/2022,11995,365,2486937
GEO,Asia,Georgia,4/29/2022,1654945,16807,3979773
DEU,Europe,Germany,4/29/2022,24798067,135451,83900471
GHA,Africa,Ghana,4/29/2022,161173,1445,31732128
GIB,Europe,Gibraltar,4/29/2022,17837,102,33691
GRC,Europe,Greece,4/29/2022,3317425,29114,10370747
GRL,North America,Greenland,4/29/2022,11971,21,56868
GRD,North America,Grenada,4/29/2022,14629,220,113015
GTM,North America,Guatemala,4/29/2022,845868,17566,18249868
GIN,Africa,Guinea,4/29/2022,36549,442,13497237
GNB,Africa,Guinea-Bissau,4/29/2022,8202,171,2015490
