iso_code,continent,name,date,total_cases,total_deaths,total_vaccinations,population
AFG,Asia,Afghanistan,2/7/2022,166924,7442,5216998,39835428
OWID_AFR,,Africa,2/7/2022,11037508,241633,365132220,1373486472
ALB,Europe,Albania,2/7/2022,264875,3387,2639523,2872934
DZA,Africa,Algeria,2/7/2022,258478,6654,,44616626
AND,Europe,Andorra,2/7/2022,36808,147,,77354
AGO,Africa,Angola,2/7/2022,98409,1896,,33933611
AIA,North America,Anguilla,2/7/2022,2436,9,,15125
ATG,North America,Antigua and Barbuda,2/7/2022,6853,131,,98728
ARG,South America,Argentina,2/7/2022,8615285,122943,90446207,45605823
ARM,Asia,Armenia,2/7/2022,391588,8097,,2968128
ABW,North America,Aruba,2/7/2022,33328,195,166865,107195
OWID_ASI,,Asia,2/7/2022,105210198,1312025,6967167364,4678444992
AUS,Oceania,Australia,2/7/2022,2779880,4302,51313905,25788217
AUT,Europe,Austria,2/7/2022,2084227,14246,,9043072
AZE,Asia,Azerbaijan,2/7/2022,703334,8898,12218614,10223344
BHS,North America,Bahamas,2/7/2022,32802,753,,396914
BHR,Asia,Bahrain,2/7/2022,428123,1414,3371825,1748295
BGD,Asia,Bangladesh,2/7/2022,1870901,28627,,166303494
BRB,North America,Barbados,2/7/2022,48658,286,306908,287708
BLR,Europe,Belarus,2/7/2022,783260,6159,,9442867
BEL,Europe,Belgium,2/7/2022,3344833,29337,24411223,11632334
BLZ,North America,Belize,2/7/2022,54179,630,,404915
BEN,Africa,Benin,2/7/2022,26498,163,,12451031
BMU,North America,Bermuda,2/7/2022,11058,119,,62092
BTN,Asia,Bhutan,2/7/2022,6300,4,,779900
BOL,South America,Bolivia,2/7/2022,874906,21171,12072776,11832936
BES,North America,Bonaire Sint Eustatius and Saba,2/7/2022,7237,30,,26445
BIH,Europe,Bosnia and Herzegovina,2/7/2022,356930,14800,,3263459
BWA,Africa,Botswana,2/7/2022,257167,2593,,2397240
BRA,South America,Brazil,2/7/2022,26616014,632946,370659862,213993441
VGB,North America,British Virgin Islands,2/7/2022,5928,51,,30423
BRN,Asia,Brunei,2/7/2022,18152,98,,441532
BGR,Europe,Bulgaria,2/7/2022,1003448,33946,4211561,6896655
BFA,Africa,Burkina Faso,2/7/2022,20683,372,,21497097
BDI,Africa,Burundi,2/7/2022,37742,38,,12255429
KHM,Asia,Cambodia,2/7/2022,121881,3015,33422263,16946446
CMR,Africa,Cameroon,2/7/2022,117676,1907,,27224262
CAN,North America,Canada,2/7/2022,3155289,35363,79160065,38067913
CPV,Africa,Cape Verde,2/7/2022,55802,398,,561901
CYM,North America,Cayman Islands,2/7/2022,15934,16,,66498
CAF,Africa,Central African Republic,2/7/2022,14023,110,,4919987
TCD,Africa,Chad,2/7/2022,7214,190,,16914985
CHL,South America,Chile,2/7/2022,2405672,40060,47090471,19212362
CHN,Asia,China,2/7/2022,120779,4636,3010669000,1444216102
COL,South America,Colombia,2/7/2022,5975786,135992,73549566,51265841
COM,Africa,Comoros,2/7/2022,7964,160,,888456
COG,Africa,Congo,2/7/2022,23792,375,,5657017
COK,Oceania,Cook Islands,2/7/2022,2,,,17572
